冷链运输联控日志 - 日报
报告日期,2025-06-20

一、车队汇总
车队,车辆数,总油耗(L),总电耗(kWh),节油潜力(L),温控风险数
北京一队,1,85.0,73.5,3.75,1
北京二队,1,110.0,91.0,6.25,0
上海一队,1,115.0,111.0,7.5,1
深圳一队,1,95.0,0.0,1.0,4

二、司机汇总
司机,车队,车牌,油耗(L),电耗(kWh),节油潜力(L),温控风险数
张师傅,北京一队,京A12345,85.0,73.5,3.75,1
李师傅,北京二队,京B67890,110.0,91.0,6.25,0
王师傅,上海一队,沪C11111,115.0,111.0,7.5,1
赵师傅,深圳一队,粤D22222,95.0,0.0,1.0,4

三、路线汇总
路线,车次,总里程(km),平均油耗(L/100km),节油潜力(L),温控风险数
北京-天津-北京,1,240.0,35.42,7.5,0
北京-石家庄-北京,1,560.0,19.64,2.5,0
上海-杭州-上海,1,360.0,31.94,7.5,0
深圳-广州-深圳,1,300.0,31.67,0.0,0

四、异常详情
类型,严重程度,车牌,时间,描述,节油潜力(L),风险评分
装卸等待用油机,low,京A12345,2025-06-20 09:30:00,等待期间(09:30-11:00)仍使用油机制冷，路段: 天津配送中心→天津配送中心,3.75,3
插电未转电机,high,京A12345,2025-06-20 09:30:00,车辆于09:30:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
温度偏离设定,medium,京A12345,2025-06-20 11:00:00,主厢温度-14.0℃，过高4.0℃，目标温度-18.0℃,0.0,6
装卸等待用油机,low,京B67890,2025-06-20 05:00:00,装货期间(05:00-06:30)仍使用油机制冷，路段: 北京冷库→北京冷库,3.75,3
装卸等待用油机,low,京B67890,2025-06-20 09:30:00,卸货期间(09:30-10:30)仍使用油机制冷，路段: 石家庄配送中心→石家庄配送中心,2.5,3
装卸等待用油机,low,沪C11111,2025-06-20 04:00:00,装货期间(04:00-05:30)仍使用油机制冷，路段: 上海冷库→上海冷库,3.75,3
装卸等待用油机,low,沪C11111,2025-06-20 08:00:00,等待期间(08:00-09:30)仍使用油机制冷，路段: 杭州配送中心→杭州配送中心,3.75,3
插电未转电机,high,沪C11111,2025-06-20 08:00:00,车辆于08:00:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
温度偏离设定,medium,沪C11111,2025-06-20 10:30:00,主厢温度-14.5℃，过高3.5℃，目标温度-18.0℃,0.0,6
插电未转电机,high,粤D22222,2025-06-20 06:00:00,车辆于06:00:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
插电未转电机,high,粤D22222,2025-06-20 07:00:00,车辆于07:00:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
插电未转电机,high,粤D22222,2025-06-20 09:00:00,车辆于09:00:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
插电未转电机,high,粤D22222,2025-06-20 10:30:00,车辆于10:30:00插电后，0分钟内仍使用油机制冷，未切换至电机,0.0,8
插电时点火,medium,粤D22222,2025-06-20 07:00:00,车辆于07:00:00处于插电状态时发动机点火，存在安全隐患,0.5,6
插电时点火,medium,粤D22222,2025-06-20 10:30:00,车辆于10:30:00处于插电状态时发动机点火，存在安全隐患,0.5,6
